CSS Overall Evaluation,,,,,,,,,,,,,
CSS Overall Evaluation,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17
Circle + H&C,84,82,83,82,,,,,,,,,
Metropolitan,84,84,82,86,,,,,,,,,
Northern,82,81,82,82,,,,,,,,,
Piccadilly,83,83,81,82,,,,,,,,,
Victoria,84,82,82,84,,,,,,,,,
Network,83,82,82,83,,,,,,,,,
CSS Overall Evaluation,2014/15,,,,,,,,,,,,
,,,,,,,,,,,,,
Bakerloo,86,83,84,86,,,,,,,,,
Central,81,82,83,85,,,,,,,,,
District,83,85,83,83,,,,,,,,,
Jubilee,84,86,86,86,,,,,,,,,
Circle + H&C,83,84,84,85,,,,,,,,,
Metropolitan,88,88,87,89,,,,,,,,,
Northern,84,85,85,85,,,,,,,,,
Piccadilly,83,85,84,84,,,,,,,,,
Victoria,85,84,83,84,,,,,,,,,
Network,83,84,84,85,,,,,,,,,
CSS Overall Evaluation,2015/16,,,,,,,,,,,,
,,,,,,,,,,,,,
Bakerloo,85,84,87,87,,,,,,,,,
Central,83,82,80,85,,,,,,,,,
District,86,84,86,86,,,,,,,,,
Jubilee,87,87,87,87,,,,,,,,,
Circle + H&C,86,83,85,86,,,,,,,,,
Metropolitan,88,87,87,87,,,,,,,,,
Northern,86,84,86,84,,,,,,,,,
Piccadilly,85,87,83,85,,,,,,,,,
Victoria,84,86,85,84,,,,,,,,,
Network,85,85,85,85,,,,,,,,,
CSS Overall Evaluation,2016/17,,,,,,,,,,,,
,,,,,,,,,,,,,
Bakerloo,84,85,85,86,,,,,,,,,
Central,83,83,84,85,,,,,,,,,
District,86,86,86,86,,,,,,,,,
Jubilee,86,86,87,88,,,,,,,,,
Circle + H&C,83,86,85,85,,,,,,,,,
Metropolitan,85,88,90,84,,,,,,,,,
Northern,85,83,85,85,,,,,,,,,
Piccadilly,86,86,84,85,,,,,,,,,
Victoria,87,84,85,85,,,,,,,,,
Network,85,85,85,85,,,,,,,,,
CSS Overall Evaluation,2017/18,,,,,,,,,,,,
,,,,,,,,,,,,,
Bakerloo,84,84,87,83,,,,,,,,,
Central,84,82,85,83,,,,,,,,,
District,87,86,85,85,,,,,,,,,
Jubilee,87,86,86,87,,,,,,,,,
Circle + H&C,88,86,84,87,,,,,,,,,
Metropolitan,88,88,86,84,,,,,,,,,
Northern,85,85,84,83,,,,,,,,,
Piccadilly,86,85,82,87,,,,,,,,,
Victoria,85,85,85,86,,,,,,,,,
Network,86,85,85,85,,,,,,,,,
CSS Overall Evaluation,2018/19,,,,,,,,,,,,
,,,,,,,,,,,,,
Bakerloo,87,83,85,85,,,,,,,,,
Central,83,79,84,84,,,,,,,,,
District,87,85,84,85,,,,,,,,,
Jubilee,85,84,83,86,,,,,,,,,
Circle + H&C,82,85,82,87,,,,,,,,,
Metropolitan,87,86,82,88,,,,,,,,,
Northern,85,83,85,86,,,,,,,,,
Piccadilly,86,82,84,85,,,,,,,,,
Victoria,85,84,85,85,,,,,,,,,
Network,85,83,84,85,,,,,,,,,
CSS Overall Evaluation,2019/20,,,,,,,,,,,,
,,,,,,,,,,,,,
Bakerloo,,,,,,,,,,,,,
Central,,,,,,,,,,,,,
District,,,,,,,,,,,,,
Jubilee,,,,,,,,,,,,,
Circle + H&C,,,,,,,,,,,,,
Metropolitan,,,,,,,,,,,,,
Northern,,,,,,,,,,,,,
Piccadilly,,,,,,,,,,,,,
Victoria,,,,,,,,,,,,,
Network,,,,,,,,,,,,,
